epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.235,1.17561,3.80726,1.48522,0.01715,0.80631,0.19171,0.12503,0.69601,4.02283,1.25282,0.0001875,0.0001875,0.0001875
2,180.886,0.98668,3.73885,1.36081,0.01308,0.94444,0.19241,0.14171,0.64613,3.97863,1.1807,0.000362378,0.000362378,0.000362378
3,252.663,0.95978,3.67568,1.31171,0.00879,0.96465,0.24065,0.18042,0.71475,3.9214,1.21615,0.000518075,0.000518075,0.000518075
4,322.476,0.94739,3.56975,1.31276,0.00728,0.96465,0.21871,0.1636,0.78039,3.80283,1.26597,0.000532187,0.000532187,0.000532187
5,393.728,0.91353,3.46317,1.29015,0.84226,0.0809,0.24093,0.15764,0.93118,3.66995,1.44635,0.00050125,0.00050125,0.00050125
6,464.633,0.86421,3.34997,1.24419,1,0.0819,0.22802,0.17944,0.83226,3.61307,1.37291,0.000470312,0.000470312,0.000470312
7,534.677,0.90831,3.29644,1.26246,0.57865,0.23611,0.27409,0.19905,0.81857,3.50794,1.36415,0.000439375,0.000439375,0.000439375
8,604.68,0.91122,3.1978,1.27264,0.53492,0.19167,0.31669,0.2218,0.89989,3.49935,1.4522,0.000408438,0.000408438,0.000408438
9,675.699,1.01426,3.19153,1.37464,0.56238,0.27332,0.31474,0.20758,1.09143,3.50673,1.60805,0.0003775,0.0003775,0.0003775
10,744.443,0.89245,3.09994,1.29557,0.81499,0.21085,0.35812,0.24608,0.98806,3.34485,1.58075,0.000346563,0.000346563,0.000346563
11,814.569,0.96324,3.1334,1.37235,0.81748,0.33445,0.41926,0.29426,0.98328,3.25625,1.52992,0.000315625,0.000315625,0.000315625
12,883.832,0.9143,3.00583,1.35011,0.75977,0.30023,0.41566,0.308,1.01282,3.2155,1.52444,0.000284688,0.000284688,0.000284688
13,954.691,0.84,2.83347,1.30367,0.64662,0.34937,0.42113,0.28848,0.92465,3.12339,1.36594,0.00025375,0.00025375,0.00025375
14,1026.75,0.90155,2.76728,1.33721,0.57979,0.45139,0.47551,0.39039,0.77556,2.89759,1.26706,0.000222813,0.000222813,0.000222813
15,1096.44,0.88301,2.70279,1.31344,0.7249,0.38889,0.49994,0.43309,0.6694,2.79079,1.17278,0.000191875,0.000191875,0.000191875
16,1166.35,0.84048,2.68164,1.28981,0.56252,0.51928,0.53428,0.45609,0.69046,2.73842,1.19975,0.000160938,0.000160938,0.000160938
17,1237.19,0.76901,2.57837,1.20382,0.59751,0.52959,0.57373,0.49041,0.69324,2.68969,1.20603,0.00013,0.00013,0.00013
18,1307.18,0.7433,2.63971,1.21274,0.62105,0.49168,0.5711,0.49582,0.6749,2.6626,1.184,9.90625e-05,9.90625e-05,9.90625e-05
19,1375.76,0.7923,2.55184,1.22822,0.8118,0.38393,0.57196,0.49961,0.68071,2.64013,1.17898,6.8125e-05,6.8125e-05,6.8125e-05
20,1445.31,0.77303,2.53827,1.21117,0.91883,0.38601,0.56846,0.49467,0.66721,2.61959,1.1646,3.71875e-05,3.71875e-05,3.71875e-05
